cic_id,port,arrive_state,arrive_month
467207,LOS,CA,4
3866997,SFR,CA,4
3334127,NYC,NY,4
2706307,SFR,CA,4
3859178,NYC,CT,4
4505923,LVG,NV,4
1999393,ATL,IN,4
1181033,DUB,NY,4
4877203,ORL,FL,4
1803405,ATL,GA,4
3682251,TAM,FL,4
4698239,WAS,VA,4
4877171,ORL,FL,4
4702607,ORL,FL,4
3865265,MIA,FL,4
5698234,NYC,OH,4
5703109,PBB,FL,4
2168671,ATL,FL,4
3341644,DAL,TX,4
838246,WAS,DC,4
1600731,SFB,FL,4
261165,PHO,FL,4
2902077,ATL,GA,4
38637,ORL,FL,4
5451416,PHO,NE,4
4289482,LOS,CA,4
3331441,NEW,PA,4
2906098,LOS,CA,4
253555,FMY,NY,4
471394,PHI,PA,4
1809655,LOS,CA,4
4698964,NYC,NE,4
45157,CHI,MA,4
3507607,NYC,NY,4
1383491,SFR,CA,4
2907046,ORL,FL,4
32582,NYC,NE,4
257403,ORL,FL,4
263870,FMY,NY,4
840431,NYC,NY,4
2330915,LVG,NV,4
3119472,NYC,NY,4
3675104,WAS,DC,4
3859815,NYC,NY,4
2327918,NEW,NY,4
3330175,BOS,MA,4
2011996,SEA,WA,4
2006895,ORL,FL,4
1182448,NYC,NY,4
662899,LOS,CA,4
3863510,LOS,CA,4
1006956,DUB,NY,4
264030,FMY,FL,4
2007033,ORL,FL,4
34343,NYC,NY,4
32221,NYC,FL,4
4511860,ATL,GA,4
2709302,NYC,IL,4
5707240,NAS,FL,4
3506997,NYC,NY,4
252362,ORL,NE,4
1016822,KOA,OH,4
1185184,LOS,CA,4
5242730,HAM,MA,4
4288772,LVG,NV,4
1393049,LOS,CA,4
5227851,CHI,IL,4
2324901,NYC,NY,4
4499590,LOS,CA,4
25478,NYC,NY,4
834035,NEW,PA,4
1002291,NEW,NY,4
652881,NYC,TX,4
3854905,MIA,FL,4
5226618,NYC,NY,4
5446642,NYC,RI,4
997142,NEW,NY,4
452796,NYC,NY,4
4494327,NYC,NY,4
1991822,NEW,LA,4
2319989,LOS,CA,4
19751,LOS,CA,4
4866124,DET,FL,4
3849271,MIA,FL,4
2320039,LOS,CA,4
2305457,SFR,CA,4
6019883,LOS,HI,4
1776348,DAL,TX,4
5660225,NEW,NY,4
3300843,NEW,NJ,4
813390,PHO,NC,4
1560415,CHI,IL,4
